bsl_id,data,journal,riferimento,importo
24048,2024-01-01,QONTO CASAFOLINO,team_essential_2023 1,34.00
24046,2024-01-01,QONTO CASAFOLINO,GOOGLE*GSUITE FOLINOFO,5.20
24045,2024-01-01,QONTO CASAFOLINO,BASELINKER.COM,16.74
24047,2024-01-01,QONTO CASAFOLINO,Google Payment IE LTD,1.99
24044,2024-01-01,QONTO CASAFOLINO,PAYPAL *ARUBA SPA,
24050,2024-01-02,QONTO CASAFOLINO,CALENDLY,
24049,2024-01-02,QONTO CASAFOLINO,1031566967222/PAYPAL,
24051,2024-01-02,QONTO CASAFOLINO,fx_card,0.34
24061,2024-01-03,QONTO CASAFOLINO,fx_card,
24056,2024-01-03,QONTO CASAFOLINO,Inviato da SumUp,
24052,2024-01-03,QONTO CASAFOLINO,1031662880456/PAYPAL,
24058,2024-01-03,QONTO CASAFOLINO,MERCADO CONVENIENCE ST,4.88
24060,2024-01-03,QONTO CASAFOLINO,ANKORSTORE,
24057,2024-01-03,QONTO CASAFOLINO,EUROPA COMMERCIALE,
24055,2024-01-03,QONTO CASAFOLINO,1031624728631/PAYPAL,
24054,2024-01-03,QONTO CASAFOLINO,1031624678899/PAYPAL,
24053,2024-01-03,QONTO CASAFOLINO,1031564851887/PAYPAL,
24059,2024-01-03,QONTO CASAFOLINO,SUPERMERCATO CONAD,
24064,2024-01-04,QONTO CASAFOLINO,TIGER ITALIA 1 SRL,7.00
24063,2024-01-04,QONTO CASAFOLINO,1031685753369/PAYPAL,
24065,2024-01-04,QONTO CASAFOLINO,EMMEPI SHOP,31.70
24062,2024-01-04,QONTO CASAFOLINO,1031684052008/PAYPAL,
24066,2024-01-05,QONTO CASAFOLINO,1031705449284 PAYPAL,
24069,2024-01-05,QONTO CASAFOLINO,PAYPAL *PACKLINK,
24070,2024-01-05,QONTO CASAFOLINO,PAYPAL *USCUSTOMSBO,
24072,2024-01-05,QONTO CASAFOLINO,PAYPAL *PACKLINK,
24068,2024-01-05,QONTO CASAFOLINO,Inviato da SumUp,50.00
24067,2024-01-05,QONTO CASAFOLINO,ADWORDS:7480355005:GG103FQBZ8,51.46
24071,2024-01-05,QONTO CASAFOLINO,O'CLOCK SRL,11.00
24073,2024-01-08,QONTO CASAFOLINO,Inviato da SumUp,110.00
24086,2024-01-08,QONTO CASAFOLINO,HAPPY YO SCAR SRL,5.60
24087,2024-01-08,QONTO CASAFOLINO,CISALFA 740,34.17
24077,2024-01-08,QONTO CASAFOLINO,SLR112HVXJA4KJEMWY9OHDD6DSCAGD,
24076,2024-01-08,QONTO CASAFOLINO,SUPERMERCATO CRAI,
24074,2024-01-08,QONTO CASAFOLINO,PACKLINK - AUCTANE SL,105.85
24088,2024-01-08,QONTO CASAFOLINO,SUPERMERCATO SUPERSTOR,14.73
24075,2024-01-08,QONTO CASAFOLINO,Inviato da SumUp,100.00
24084,2024-01-08,QONTO CASAFOLINO,traf,800.00
24079,2024-01-08,QONTO CASAFOLINO,TECA GAS S.R.L.,
24082,2024-01-08,QONTO CASAFOLINO,SUPERMERCATO ALARP 200,15.34
24085,2024-01-08,QONTO CASAFOLINO,saldo vs ft,475.15
24080,2024-01-08,QONTO CASAFOLINO,SLR116OQMU6P99K3Y54889LSGM05RZ,
24078,2024-01-08,QONTO CASAFOLINO,SLR116F3QHHMB6FL3ANOT9UWQSY06G,
24081,2024-01-08,QONTO CASAFOLINO,SLR114ORF3WXFP5XDZPMR611GK6ATA,
24083,2024-01-08,QONTO CASAFOLINO,ca ft 3540/3582/3628,420.54
24093,2024-01-09,QONTO CASAFOLINO,Rest cassa,400.00
24094,2024-01-09,QONTO CASAFOLINO,Cassa,50.00
24092,2024-01-09,QONTO CASAFOLINO,CAFFE' CENTRALE SAS,
24089,2024-01-09,QONTO CASAFOLINO,CONAD,
24098,2024-01-09,QONTO CASAFOLINO,dd,500.00
24097,2024-01-09,QONTO CASAFOLINO,Cassa,450.00
24096,2024-01-09,QONTO CASAFOLINO,Cassa,50.00
24090,2024-01-09,QONTO CASAFOLINO,CISALFA 740,19.99
24095,2024-01-09,QONTO CASAFOLINO,s,450.00
24091,2024-01-09,QONTO CASAFOLINO,LA CUCINA DI MARLENE,29.00
24104,2024-01-10,QONTO CASAFOLINO,IL SURGELATO,9.50
24101,2024-01-10,QONTO CASAFOLINO,Cassa,470.00
24102,2024-01-10,QONTO CASAFOLINO,PAYPAL *FACEBOOK,
24103,2024-01-10,QONTO CASAFOLINO,CAFFETTERIA DA PIERO,
24100,2024-01-10,QONTO CASAFOLINO,Fama Paccofacile.it,10.04
24099,2024-01-10,QONTO CASAFOLINO,PACKLINK - AUCTANE SL,17.10
24106,2024-01-11,QONTO CASAFOLINO,1031826660819 PAYPAL,
24108,2024-01-11,QONTO CASAFOLINO,1031820363489/PAYPAL,
24107,2024-01-11,QONTO CASAFOLINO,1031825017477/PAYPAL,
24105,2024-01-11,QONTO CASAFOLINO,1031826605390 PAYPAL,
24109,2024-01-11,QONTO CASAFOLINO,BAR FIORENTINO,
24110,2024-01-11,QONTO CASAFOLINO,Inviato da SumUp,130.00
24112,2024-01-12,QONTO CASAFOLINO,1031845145261/PAYPAL,
24115,2024-01-12,QONTO CASAFOLINO,vs affitto,300.00
24111,2024-01-12,QONTO CASAFOLINO,1031828148104 PAYPAL,
24113,2024-01-12,QONTO CASAFOLINO,"RFB/472834980//INVOICE CARGO COMPA
SS POP TRADE RELATED",1410.12
24114,2024-01-12,QONTO CASAFOLINO,vs spettanze,600.00
24116,2024-01-12,QONTO CASAFOLINO,fsvp,400.00
24117,2024-01-12,QONTO CASAFOLINO,swift_income,
24118,2024-01-13,QONTO CASAFOLINO,CAFFETTERIA DA PIERO,
24120,2024-01-13,QONTO CASAFOLINO,FRANCIS L DEAN AND ASS,89.68
