id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_cf_gdo_retailer_user,cf.gdo.retailer user,model_cf_gdo_retailer,base.group_user,1,1,1,0
access_cf_gdo_retailer_mgr,cf.gdo.retailer manager,model_cf_gdo_retailer,base.group_system,1,1,1,1
access_cf_gdo_listing_user,cf.gdo.listing user,model_cf_gdo_listing,base.group_user,1,1,1,0
access_cf_gdo_listing_mgr,cf.gdo.listing manager,model_cf_gdo_listing,base.group_system,1,1,1,1
access_cf_pl_client_user,cf.pl.client user,model_cf_pl_client,base.group_user,1,1,1,0
access_cf_pl_client_mgr,cf.pl.client manager,model_cf_pl_client,base.group_system,1,1,1,1
access_cf_pl_product_user,cf.pl.product user,model_cf_pl_product,base.group_user,1,1,1,0
access_cf_pl_product_mgr,cf.pl.product manager,model_cf_pl_product,base.group_system,1,1,1,1
access_cf_treasury_user,cf.treasury.snapshot user,model_cf_treasury_snapshot,base.group_user,1,0,0,0
access_cf_treasury_mgr,cf.treasury.snapshot manager,model_cf_treasury_snapshot,base.group_system,1,1,1,1
access_cf_cashflow_user,cf.treasury.cashflow.line user,model_cf_treasury_cashflow_line,base.group_user,1,1,1,0
access_cf_cashflow_mgr,cf.treasury.cashflow.line manager,model_cf_treasury_cashflow_line,base.group_system,1,1,1,1
access_cf_export_wizard,cf.treasury.export.wizard,model_cf_treasury_export_wizard,base.group_user,1,1,1,1
